house pit No.,Cultural historical period,C14 date (BP; uncalibrated),Calendar date 
No. 1,Iron Age,1850pm20,AD 188
No. 15,Iron Age,1780pm20,AD 228
No. 15,Iron Age,1780pm20,AD 217
No. 29,Iron Age,1640pm20,AD 336
