,Luminescence dates (accumulative); calendar year,Radiocarbon dates (accumulative); calendar year
,,
Sosa-Dong,1122 - 673 BC (2 dates),1300 - 850 BC (16 dates)
Kimpo-Yangchon,808 - 310 BC (2 dates),1420 - 415 BC (43 dates)
Songguk-Ri,N/A,835 - 200 BC (18 dates)
Eupha-Ri,373 BC - 594 AD (3 dates),168 - 356 AD (4 dates)
,,
,,
,,
,,
,,
