Location/house pit No.,Cultural historical period,C14 date (BP; uncalibrated),Calendar date 
Area La /No. 20,Mumun,3010pm60,BC 1240 
Area Da /No. 5,Mumun,2990pm50,BC 1220
Area Da /No. 6,Mumun,2990pm50,BC 1220
Area Ga /No. 17,Mumun,2950pm50,BC 1160
Area Ga /No. 7,Mumun,2930pm60,BC 1150 
Area Da /No. 7,Mumun ,2930pm50,BC 1150 
Area La /No. 10,Mumun,2900pm50,BC 1120
Area Ga /No. 2,Mumun,2850pm60,BC 1060
Area Ga /No. 10,Mumun,2840pm50,BC 1050
Area Ga /No. 14,Mumun,2850pm50,BC 1050
Area Ga /No. 16,Mumun,2840pm50,BC 1050
Area Ga /No. 18,Mumun,2840pm50,BC 1050
Area Ga /No. 28,Mumun,2850pm50,BC 1050
Area Da /No. 4,Mumun,2810pm50,BC 980
Area Ga /No. 20,Mumun,2750pm50,BC 910
Area La /No. 4,Mumun,2740pm50,BC 900
Chronological void,,,
Area Ga /No. 13,Mumun,2550pm50,BC 670
Area La /No. 7,Mumun,2470pm80,BC 600
Area Ga /No. 15,Mumun,2470pm60,BC 590
Area Ga /No. 4,Mumun,2300pm50,BC 310
